AS,t=206387092.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387093.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387093.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387093.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387093.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387093.921,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387094.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387094.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387094.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387095.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387095.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387095.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387095.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387096.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387096.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387096.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387096.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387097.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387097.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
