CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CCSDS_SPARE,X_LINEAR_ACCELERATION,X_ANGULAR_RATE,Y_LINEAR_ACCELERATION,Y_ANGULAR_RATE,Z_LINEAR_ACCELERATION,Z_ANGULAR_RATE
2342,49496,33,355,1310,0,0.000270642,-0.007644296,-0.000770651,0.000819564,0.000282563,0.000104308
2342,49497,33,356,1310,0,-0.000574552,0.008925796,0.000871457,0.000533462,0.000352897,0.000151992
2342,49498,33,357,1310,0,0.000264682,-0.007382035,-0.000743829,0.00077188,0.000262298,5.66E-05
2342,49499,33,358,1310,0,-0.000457726,0.007542968,0.000736751,0.000533462,0.000331439,0.000104308
2342,49500,33,359,1310,0,0.000280179,-0.008764863,-0.000879727,0.000819564,0.000280179,8.94E-06
2342,49501,33,360,1310,0,-0.000479184,0.00782907,0.000768937,0.000581145,0.000363626,5.66E-05
2342,49502,33,361,1310,0,0.000278987,-0.008478761,-0.000850521,0.000867248,0.000304021,-1.49E-05
2342,49503,33,362,1310,0,-0.000503622,0.008115172,0.000801124,0.000628829,0.000382699,8.94E-06
2342,49504,33,363,1310,0,0.000276603,-0.008168817,-0.000819527,0.000867248,0.00031475,-3.87E-05
2342,49505,33,364,1310,0,-0.000671111,0.00782907,0.000791587,-0.002732873,-0.001162849,5.66E-05
2342,49506,33,365,1310,0,0.000215806,-0.008788705,-0.000876151,-0.000444055,-0.000276528,8.94E-06
2342,49507,33,366,1310,0,-0.000482164,0.007686019,0.0007594,0.000342727,0.000243224,5.66E-05
2342,49508,33,367,1310,0,0.000299253,-0.008526444,-0.00085827,0.001248717,0.000489987,-1.49E-05
2342,49509,33,368,1310,0,-0.000621639,0.007542968,0.000761785,-0.00230372,-0.000973903,5.66E-05
2342,49510,33,369,1310,0,0.000221767,-0.009027123,-0.000900589,-0.000348687,-0.000234805,8.94E-06
2342,49511,33,370,1310,0,-0.000470839,0.007399917,0.000733174,0.000104308,0.00013236,5.66E-05
2342,49512,33,371,1310,0,0.000245608,-0.007644296,-0.000765882,0.000342727,8.11E-05,8.94E-06
2342,49513,33,372,1310,0,-0.00057932,0.008878112,0.000876226,0.00039041,0.0002921,5.66E-05
2342,49514,33,373,1310,0,0.000257529,-0.007453561,-0.000747405,0.000628829,0.000208654,8.94E-06
2342,49515,33,374,1310,0,-0.000458322,0.0074476,0.000735559,0.00039041,0.000271834,5.66E-05
2342,49516,33,375,1310,0,0.000271834,-0.008717179,-0.000873171,0.000676513,0.000226535,-3.87E-05
2342,49517,33,376,1310,0,-0.000488721,0.00782907,0.00077609,0.000438094,0.000300445,8.94E-06
2342,49518,33,377,1310,0,0.000270642,-0.008478761,-0.000849329,0.000724196,0.000245608,-6.26E-05
2342,49519,33,378,1310,0,-0.00050839,0.008067489,0.000803508,0.000438094,0.000317134,-3.87E-05
2342,49520,33,379,1310,0,0.00026945,-0.008240342,-0.000824295,0.000724196,0.000255145,-8.64E-05
2342,49521,33,380,1310,0,-0.000530444,0.008305907,0.000830926,0.000438094,0.000323094,-6.26E-05
2342,49522,33,381,1310,0,0.000265874,-0.007978082,-0.000798665,0.000724196,0.000253953,-0.000110269
2342,49523,33,382,1310,0,-0.000553094,0.008544326,0.000858344,0.000438094,0.000319518,-8.64E-05
2342,49524,33,383,1310,0,0.000261106,-0.007739663,-0.000774227,0.000676513,0.000242032,-0.00013411
2342,49525,33,384,1310,0,-0.00057634,0.008782744,0.000883378,0.00039041,0.000304021,-8.64E-05
2342,49526,33,385,1310,0,0.000255145,-0.007525086,-0.000750981,0.000628829,0.000220574,-0.000157952
2342,49527,33,386,1310,0,-0.000598393,0.009021163,0.000906028,0.000342727,0.000278987,-0.000110269
2342,49528,33,387,1310,0,0.000249185,-0.00731051,-0.000730716,0.000533462,0.00018958,-0.000157952
2342,49529,33,388,1310,0,-0.000475608,0.007542968,0.000762977,0.000295043,0.000247993,-0.000110269
2342,49530,33,389,1310,0,0.000264682,-0.008764863,-0.000876151,0.000581145,0.000200309,-0.000181794
2342,49531,33,390,1310,0,-0.000490509,0.007781386,0.000784434,0.000342727,0.000273027,-0.000157952
2342,49532,33,391,1310,0,0.000264682,-0.008550286,-0.000854693,0.000628829,0.00021819,-0.000229478
2342,49533,33,392,1310,0,-0.000653826,0.007352233,0.000762977,-0.00294745,-0.001269542,-0.000110269
2342,49534,33,393,1310,0,0.000170507,-0.007858872,-0.000778995,-0.001040101,-0.000528656,-0.00013411
2342,49535,33,394,1310,0,-0.000587068,0.008496642,0.000857152,-0.000324845,-3.27E-05,-6.26E-05
2342,49536,33,395,1310,0,0.000257529,-0.007858872,-0.00078436,0.000581145,0.000202693,-0.00013411
2342,49537,33,396,1310,0,-0.000557266,0.008735061,0.000873841,0.000628829,0.000420846,-8.64E-05
2342,49538,33,397,1310,0,0.000268258,-0.007525086,-0.000753962,0.000867248,0.000333823,-0.000157952
2342,49539,33,398,1310,0,-0.000728928,0.008448958,0.000865497,-0.002732873,-0.001159869,-3.87E-05
2342,49540,33,399,1310,0,0.000187196,-0.0082165,-0.000816546,-0.000825524,-0.000436865,-6.26E-05
2342,49541,33,400,1310,0,-0.000546537,0.008162856,0.000820197,-8.64E-05,6.92E-05,-1.49E-05
2342,49542,33,401,1310,0,0.000274219,-0.008097291,-0.000813566,0.000819564,0.000307597,-8.64E-05
2342,49543,33,402,1310,0,-0.000678264,0.007876754,0.000799932,-0.002756715,-0.001172386,8.94E-06
2342,49544,33,403,1310,0,0.000194348,-0.008812547,-0.000876151,-0.000801682,-0.000435077,-1.49E-05
2342,49545,33,404,1310,0,-0.000494085,0.007590652,0.000755824,-3.87E-05,7.75E-05,5.66E-05
2342,49546,33,405,1310,0,0.000283755,-0.008669496,-0.000871383,0.000914931,0.000331439,-3.87E-05
2342,49547,33,406,1310,0,-0.000625215,0.007304549,0.000740327,-0.002637506,-0.001136623,5.66E-05
2342,49548,33,407,1310,0,0.000190772,-0.007858872,-0.000783168,-0.000730157,-0.000402294,5.66E-05
2342,49549,33,408,1310,0,-0.000572167,0.008544326,0.000845231,8.94E-06,0.000100173,0.000104308
2342,49550,33,409,1310,0,0.000274219,-0.007739663,-0.000778399,0.000914931,0.000327863,8.94E-06
2342,49551,33,410,1310,0,-0.000554882,0.008925796,0.000873841,0.000962615,0.00055436,5.66E-05
2342,49552,33,411,1310,0,0.000108518,-0.007906556,-0.000783764,-0.002136827,-0.001029931,5.66E-05
2342,49553,33,412,1310,0,-0.000594221,0.008353591,0.000828542,-0.000730157,-0.000244938,0.000151992
2342,49554,33,413,1310,0,0.000259914,-0.008025765,-0.000805818,0.000533462,0.000147857,5.66E-05
2342,49555,33,414,1310,0,-0.000539385,0.008544326,0.000835694,0.000581145,0.000369586,0.000104308
