CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CCSDS_SPARE,GPS_WEEKS,GPS_SECONDS,GPS_FRAC_SECS,ECEF_X,ECEF_Y,ECEF_Z,VEL_X,VEL_Y,VEL_Z,LAT,LON,ALT
2161,50493,83,365,53739,0,341,150584,0.234,-1280000,-6306000,2115000,4783,919.6,5543,18.13036537,-101.612915,397093.5625
2161,50494,83,366,4587,0,341,150584,0.484,-1279000,-6306000,2116000,4783,921.5,5542,18.13036537,-101.612915,397093.5625
2161,50495,83,366,20971,0,341,150584,0.734,-1278000,-6305000,2118000,4784,923.3,5542,18.13036537,-101.612915,397093.5625
2161,50496,83,366,37355,0,341,150584,0.984,-1276000,-6305000,2119000,4784,925.1,5541,18.13036537,-101.612915,397093.5625
2161,50497,83,366,53739,0,341,150585,0.234,-1275000,-6305000,2120000,4785,927,5540,18.13036537,-101.612915,397093.5625
2161,50512,83,370,38010,0,341,150588,0.734,-1259000,-6302000,2140000,4791,952.8,5531,18.53575516,-101.2858582,396945.2813
2161,50513,83,370,54394,0,341,150589,0.234,-1256000,-6301000,2142000,4792,956.4,5529,18.53575516,-101.2858582,396945.2813
2161,50514,83,371,21626,0,341,150589,0.734,-1254000,-6301000,2145000,4793,960.2,5528,18.53575516,-101.2858582,396945.2813
2161,50515,83,371,38010,0,341,150589,0.984,-1253000,-6300000,2146000,4793,962,5527,18.53575516,-101.2858582,396945.2813
2161,50516,83,372,5242,0,341,150590,0.484,-1250000,-6300000,2149000,4794,965.7,5526,18.53575516,-101.2858582,396945.2813
2161,50517,83,372,21626,0,341,150590,0.734,-1249000,-6300000,2151000,4794,967.5,5525,18.53575516,-101.2858582,396945.2813
2161,50518,83,372,38010,0,341,150590,0.984,-1248000,-6300000,2152000,4795,969.3,5525,18.53575516,-101.2858582,396945.2813
2161,50519,83,372,54394,0,341,150591,0.234,-1247000,-6299000,2153000,4795,971.2,5524,18.53575516,-101.2858582,396945.2813
2161,50520,83,373,5242,0,341,150591,0.484,-1246000,-6299000,2155000,4796,973,5523,18.53575516,-101.2858582,396945.2813
2161,50521,83,373,21626,0,341,150591,0.734,-1244000,-6299000,2156000,4796,974.9,5523,18.53575516,-101.2858582,396945.2813
2161,50522,83,373,38010,0,341,150591,0.984,-1243000,-6299000,2157000,4797,976.7,5522,18.53575516,-101.2858582,396945.2813
2161,50523,83,373,54394,0,341,150592,0.234,-1242000,-6298000,2159000,4797,978.5,5521,18.53575516,-101.2858582,396945.2813
2161,50524,83,374,5242,0,341,150592,0.484,-1241000,-6298000,2160000,4797,980.3,5521,18.53575516,-101.2858582,396945.2813
2161,50525,83,374,21626,0,341,150592,0.734,-1240000,-6298000,2161000,4798,982.1,5520,18.53575516,-101.2858582,396945.2813
2161,50526,83,374,38010,0,341,150592,0.984,-1239000,-6298000,2163000,4798,984,5519,18.53575516,-101.2858582,396945.2813
2161,50527,83,374,54394,0,341,150593,0.234,-1237000,-6297000,2164000,4799,985.9,5518,18.53575516,-101.2858582,396945.2813
2161,50528,83,375,5242,0,341,150593,0.484,-1236000,-6297000,2166000,4799,987.7,5518,18.53575516,-101.2858582,396945.2813
2161,50529,83,375,21626,0,341,150593,0.734,-1235000,-6297000,2167000,4800,989.5,5517,18.53575516,-101.2858582,396945.2813
2161,50530,83,375,38010,0,341,150593,0.734,-1235000,-6297000,2167000,4800,989.5,5517,18.78142548,-101.0865402,396859.75
2161,50531,83,375,54394,0,341,150594,0.234,-1233000,-6296000,2170000,4800,993.2,5516,18.78142548,-101.0865402,396859.75
2161,50532,83,376,5242,0,341,150594,0.484,-1231000,-6296000,2171000,4801,995,5515,18.78142548,-101.0865402,396859.75
2161,50533,83,376,21626,0,341,150594,0.734,-1230000,-6296000,2172000,4801,996.9,5514,18.78142548,-101.0865402,396859.75
2161,50534,83,376,38010,0,341,150594,0.984,-1229000,-6296000,2174000,4802,998.7,5514,18.78142548,-101.0865402,396859.75
2161,50535,83,376,54394,0,341,150595,0.234,-1228000,-6295000,2175000,4802,1001,5513,18.78142548,-101.0865402,396859.75
2161,50536,83,377,21626,0,341,150595,0.734,-1225000,-6295000,2178000,4803,1004,5511,18.78142548,-101.0865402,396859.75
2161,50537,83,377,38010,0,341,150595,0.984,-1224000,-6295000,2179000,4803,1006,5511,18.78142548,-101.0865402,396859.75
2161,50538,83,377,54394,0,341,150596,0.234,-1223000,-6294000,2181000,4804,1008,5510,18.78142548,-101.0865402,396859.75
2161,50539,83,378,5242,0,341,150596,0.484,-1222000,-6294000,2182000,4804,1010,5509,18.78142548,-101.0865402,396859.75
2161,50540,83,378,21626,0,341,150596,0.734,-1221000,-6294000,2183000,4805,1012,5509,18.78142548,-101.0865402,396859.75
2161,50541,83,378,38010,0,341,150596,0.984,-1220000,-6294000,2185000,4805,1013,5508,18.78142548,-101.0865402,396859.75
2161,50542,83,378,54394,0,341,150597,0.234,-1218000,-6293000,2186000,4806,1015,5507,18.78142548,-101.0865402,396859.75
2161,50543,83,379,5242,0,341,150597,0.484,-1217000,-6293000,2187000,4806,1017,5507,18.78142548,-101.0865402,396859.75
2161,50544,83,379,21626,0,341,150597,0.734,-1216000,-6293000,2189000,4806,1019,5506,18.78142548,-101.0865402,396859.75
2161,50545,83,379,38010,0,341,150597,0.984,-1215000,-6293000,2190000,4807,1021,5505,18.78142548,-101.0865402,396859.75
2161,50546,83,379,54394,0,341,150598,0.234,-1214000,-6292000,2191000,4807,1023,5504,18.78142548,-101.0865402,396859.75
2161,50547,83,380,5242,0,341,150598,0.484,-1212000,-6292000,2193000,4808,1024,5504,18.78142548,-101.0865402,396859.75
