CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CCSDS_SPARE,GPS_WEEKS,GPS_SECONDS,GPS_FRAC_SECS,ECEF_X,ECEF_Y,ECEF_Z,VEL_X,VEL_Y,VEL_Z,LAT,LON,ALT
2161,49373,83,72,23592,0,341,150290,0.734,-2514000,-6257000,418900,4062,-1263,6024,3.515017748,-112.3912735,399975.6875
2161,49374,83,72,39976,0,341,150290,0.984,-2509000,-6257000,420400,4063,-1261,6024,3.515017748,-112.3912735,399975.6875
2161,49375,83,72,56360,0,341,150291,0.234,-2504000,-6257000,421900,4064,-1259,6024,3.515017748,-112.3912735,399975.6875
2161,49376,83,73,7208,0,341,150291,0.484,-2499000,-6258000,423400,4065,-1257,6024,3.515017748,-112.3912735,399975.6875
2161,49377,83,73,23592,0,341,150291,0.734,-2494000,-6258000,424900,4065,-1255,6023,3.515017748,-112.3912735,399975.6875
2161,49378,83,73,39976,0,341,150291,0.984,-2489000,-6258000,426300,4066,-1253,6023,3.515017748,-112.3912735,399975.6875
2161,49379,83,73,56360,0,341,150292,0.234,-2484000,-6259000,427800,4067,-1251,6023,3.515017748,-112.3912735,399975.6875
2161,49380,83,74,7208,0,341,150292,0.484,-2479000,-6259000,429300,4068,-1250,6023,3.515017748,-112.3912735,399975.6875
2161,49381,83,74,23592,0,341,150292,0.734,-2474000,-6259000,430800,4069,-1248,6023,3.515017748,-112.3912735,399975.6875
2161,49382,83,74,39976,0,341,150292,0.984,-2564000,-6259000,432300,4069,-1246,6023,3.515017748,-112.3912735,399975.6875
2161,49383,83,74,57016,0,341,150293,0.234,-2563000,-6260000,433800,4070,-1244,6023,3.515017748,-112.3912735,399975.6875
2161,49384,83,75,7864,0,341,150293,0.484,-2562000,-6260000,435300,4071,-1242,6022,3.515017748,-112.3912735,399975.6875
2161,49385,83,75,24248,0,341,150293,0.484,-2562000,-6260000,435300,4071,-1242,6022,3.718193531,-112.2493439,399963.6875
2161,49386,83,75,40632,0,341,150293,0.984,-2560000,-6261000,438200,4072,-1239,6022,3.718193531,-112.2493439,399963.6875
2161,49387,83,75,57016,0,341,150294,0.234,-2559000,-6261000,439800,4073,-1237,6022,3.718193531,-112.2493439,399963.6875
2161,49388,83,76,7864,0,341,150294,0.484,-2558000,-6261000,441300,4074,-1235,6022,3.718193531,-112.2493439,399963.6875
2161,49389,83,76,24248,0,341,150294,0.734,-2557000,-6262000,442800,4075,-1233,6022,3.718193531,-112.2493439,399963.6875
2161,49390,83,76,40632,0,341,150294,0.984,-2556000,-6262000,444200,4076,-1231,6022,3.718193531,-112.2493439,399963.6875
2161,49391,83,76,57016,0,341,150295,0.234,-2555000,-6262000,445700,4076,-1229,6021,3.718193531,-112.2493439,399963.6875
