t,risk,state,main_flag,time,pos,vel,imu,stale,heading,frozen,frozen_time
206387096.233,0.00,0,0,0,0,0,0,0,0,0,2.75
206387096.483,0.00,0,0,0,0,0,0,0,0,0,3.00
206387096.733,0.00,0,0,0,0,0,0,0,0,0,3.25
206387096.983,0.00,0,0,0,0,0,0,0,0,0,3.50
206387097.233,0.00,0,0,0,0,0,0,0,0,0,3.75
206387097.483,0.00,0,0,0,0,0,0,0,0,0,4.00
206387097.983,0.00,0,0,0,0,0,0,0,0,0,4.50
206387098.233,0.00,0,0,0,0,0,0,0,0,0,4.75
206387098.483,0.35,1,7,0,0,0,0,0,0,7,5.00
206387098.733,0.35,1,7,0,0,0,0,0,0,7,5.25
206387098.983,0.35,1,7,0,0,0,0,0,0,7,5.50
206387099.233,0.35,1,7,0,0,0,0,0,0,7,5.75
206387099.483,0.35,1,7,0,0,0,0,0,0,7,6.00
206387099.733,0.35,1,7,0,0,0,0,0,0,7,6.25
206387099.983,0.35,1,7,0,0,0,0,0,0,7,6.50
206387100.233,0.35,1,7,0,0,0,0,0,0,7,6.75
206387100.483,0.35,1,7,0,0,0,0,0,0,7,7.00
206387100.733,0.35,1,7,0,0,0,0,0,0,7,7.25
206387100.983,0.35,1,7,0,0,0,0,0,0,7,7.50
206387101.233,0.35,1,7,0,0,0,0,0,0,7,7.75
206387101.483,0.35,1,7,0,0,0,0,0,0,7,8.00
206387101.733,0.35,1,7,0,0,0,0,0,0,7,8.25
206387105.983,0.85,2,7,1,0,3,0,0,0,7,12.50
206387122.233,0.85,2,7,1,0,3,0,0,0,7,28.75
206387125.483,0.85,2,7,1,0,3,0,0,0,7,32.00
206991902.733,0.85,2,7,1,0,3,0,0,0,7,604809.24
206991909.983,0.85,2,7,1,0,3,0,0,0,7,604816.48
208806303.233,0.85,2,7,1,0,3,0,0,0,7,2419209.76
208806306.483,0.85,2,7,1,0,3,0,0,0,7,2419212.96
206387103.733,0.50,1,3,1,0,3,0,0,0,0,0.00
206387103.983,0.00,0,0,0,0,0,0,0,0,0,0.25
206387104.233,0.00,0,0,0,0,0,0,0,0,0,0.50
206387104.483,0.00,0,0,0,0,0,0,0,0,0,0.75
206387104.733,0.00,0,0,0,0,0,0,0,0,0,1.00
206387104.983,0.00,0,0,0,0,0,0,0,0,0,1.25
206387105.233,0.00,0,0,0,0,0,0,0,0,0,1.50
206387105.483,0.00,0,0,0,0,0,0,0,0,0,1.75
206387105.733,0.00,0,0,0,0,0,0,0,0,0,2.00
206387106.233,0.00,0,0,0,0,0,0,0,0,0,2.50
206387106.483,0.00,0,0,0,0,0,0,0,0,0,2.75
206387106.733,0.00,0,0,0,0,0,0,0,0,0,3.00
206387106.983,0.00,0,0,0,0,0,0,0,0,0,3.25
206387107.233,0.00,0,0,0,0,0,0,0,0,0,3.50
206387107.483,0.00,0,0,0,0,0,0,0,0,0,3.75
206387107.733,0.00,0,0,0,0,0,0,0,0,0,4.00
206387107.983,0.20,0,6,0,0,0,0,0,6,0,0.00
206387108.483,0.20,0,6,0,0,0,0,0,6,0,0.00
206387108.733,0.20,0,6,0,0,0,0,0,6,0,0.00
206387108.983,0.20,0,6,0,0,0,0,0,6,0,0.00
206387109.233,0.20,0,6,0,0,0,0,0,6,0,0.00
206387109.483,0.20,0,6,0,0,0,0,0,6,0,0.00
206387109.733,0.20,0,6,0,0,0,0,0,6,0,0.00
206387109.983,0.20,0,6,0,0,0,0,0,6,0,0.00
206387110.233,0.20,0,6,0,0,0,0,0,6,0,0.00
206387110.483,0.20,0,6,0,0,0,0,0,6,0,0.00
206387110.733,0.20,0,6,0,0,0,0,0,6,0,0.00
206387110.983,0.20,0,6,0,0,0,0,0,6,0,0.00
206387111.233,0.20,0,6,0,0,0,0,0,6,0,0.00
206387111.483,0.20,0,6,0,0,0,0,0,6,0,0.00
206387111.733,0.20,0,6,0,0,0,0,0,6,0,0.00
206387111.983,0.20,0,6,0,0,0,0,0,6,0,0.00
206387111.983,0.50,1,3,1,0,3,0,0,0,0,0.00
206387112.983,0.00,0,0,0,0,0,0,0,0,0,1.00
206387113.233,0.00,0,0,0,0,0,0,0,0,0,1.25
206387113.483,0.00,0,0,0,0,0,0,0,0,0,1.50
206387113.733,0.00,0,0,0,0,0,0,0,0,0,1.75
206387113.983,0.00,0,0,0,0,0,0,0,0,0,2.00
206387114.233,0.00,0,0,0,0,0,0,0,0,0,2.25
