206387374.233,1.04,2,7,1,0,3,0,5,0,7,0,0.00
206387374.483,0.35,1,7,0,0,0,0,0,0,7,0,0.25
206387374.733,0.35,1,7,0,0,0,0,0,0,7,0,0.50
206387375.233,0.35,1,7,0,0,0,0,0,0,7,0,1.00
206387375.483,0.85,2,7,0,2,3,0,0,0,7,0,1.25
206387375.483,0.85,2,7,1,0,3,0,0,0,7,0,0.00
206387375.983,0.35,1,7,0,0,0,0,0,0,7,0,0.50
206387376.233,0.35,1,7,0,0,0,0,0,0,7,0,0.75
206387376.483,0.35,1,7,0,0,0,0,0,0,7,0,1.00
206387376.733,0.85,2,7,0,2,3,0,0,0,7,0,1.25
206387376.983,0.35,1,7,0,0,0,0,0,0,7,0,1.50
206387377.233,0.35,1,7,0,0,0,0,0,0,7,0,1.75
206387377.483,0.35,1,7,0,0,0,0,0,0,7,0,2.00
206387377.733,0.35,1,7,0,0,0,0,0,0,7,0,2.25
206387377.983,0.55,1,7,0,0,3,0,0,0,7,0,2.50
206387378.233,0.35,1,7,0,0,0,0,0,0,7,0,2.75
206387378.483,0.35,1,7,0,0,0,0,0,0,7,0,3.00
206387378.733,0.35,1,7,0,0,0,0,0,0,7,0,3.25
206387378.983,0.35,1,7,0,0,0,0,0,0,7,0,3.50
206387379.233,0.35,1,7,0,0,0,0,0,0,7,0,3.75
206387379.483,0.85,2,7,0,2,3,0,0,0,7,0,4.00
206387379.483,0.85,2,7,1,0,3,0,0,0,7,0,0.00
206387379.983,0.35,1,7,0,0,0,0,0,0,7,0,0.50
206387380.233,0.35,1,7,0,0,0,0,0,0,7,0,0.75
206387380.233,0.85,2,7,1,0,3,0,0,0,7,0,0.00
206387380.233,0.85,2,7,1,0,3,0,0,0,7,0,0.00
206387380.983,0.35,1,7,0,0,0,0,0,0,7,0,0.75
206387381.233,0.35,1,7,0,0,0,0,0,0,7,0,1.00
206387381.483,0.55,1,7,0,0,3,0,0,0,7,0,1.25
206387381.733,0.35,1,7,0,0,0,0,0,0,7,0,1.50
206387381.983,0.35,1,7,0,0,0,0,0,0,7,0,1.75
206387382.233,0.35,1,7,0,0,0,0,0,0,7,0,2.00
206387382.483,0.35,1,7,0,0,0,0,0,0,7,0,2.25
206387382.733,0.35,1,7,0,0,0,0,0,0,7,0,2.50
206387382.983,0.35,1,7,0,0,0,0,0,0,7,0,2.75
206387383.233,0.35,1,7,0,0,0,0,0,0,7,0,3.00
206387383.483,0.35,1,7,0,0,0,0,0,0,7,0,3.25
206387383.733,0.55,1,7,0,0,3,0,0,0,7,0,3.50
206387383.983,0.35,1,7,0,0,0,0,0,0,7,0,3.75
206387384.233,0.35,1,7,0,0,0,0,0,0,7,0,4.00
206387384.483,0.35,1,7,0,0,0,0,0,0,7,0,4.25
206387384.733,0.55,1,7,0,0,3,0,0,0,7,0,4.50
206387384.983,0.35,1,7,0,0,0,0,0,0,7,0,4.75
206387385.233,0.70,2,8,0,0,0,0,0,0,7,8,5.00
206387388.733,0.65,2,7,1,0,0,0,0,0,7,0,0.00
206387389.233,0.35,1,7,0,0,0,0,0,0,7,0,0.50
206387389.733,0.35,1,7,0,0,0,0,0,0,7,0,1.00
206387389.983,0.35,1,7,0,0,0,0,0,0,7,0,1.25
206387390.483,0.35,1,7,0,0,0,0,0,0,7,0,1.75
206387390.733,0.35,1,7,0,0,0,0,0,0,7,0,2.00
206387390.983,0.35,1,7,0,0,0,0,0,0,7,0,2.25
206387391.233,0.35,1,7,0,0,0,0,0,0,7,0,2.50
206387391.483,0.35,1,7,0,0,0,0,0,0,7,0,2.75
206387391.733,0.35,1,7,0,0,0,0,0,0,7,0,3.00
